target,proba
1.0,0.5619695605410963
0.0,0.34000595940929107
0.0,0.5068124266771677
0.0,0.6475970094948664
1.0,0.665470281665481
1.0,0.7711469180452718
0.0,0.5292258706350422
0.0,0.4682681805594833
1.0,0.5148243736260383
1.0,0.6381395912940134
0.0,0.2872693630524363
0.0,0.5384148934915818
1.0,0.8571857823517187
1.0,0.6271993878142955
1.0,0.6989768588871138
1.0,0.5178955058258127
1.0,0.7778204717367311
0.0,0.2559830329611714
1.0,0.6712090069526534
1.0,0.7595978899459426
1.0,0.8410196934577624
1.0,0.7223850400190114
1.0,0.8738597608676666
0.0,0.32723509703064924
1.0,0.7209247294023876
1.0,0.7801193064677839
1.0,0.7829574366643688
1.0,0.8188548563732811
1.0,0.8372553272350589
1.0,0.8536596654806782
0.0,0.4207496019048782
1.0,0.7003613865756505
1.0,0.8505494732626865
1.0,0.7070288128136266
1.0,0.8495316358154283
0.0,0.32427885489339064
1.0,0.5221166504790845
0.0,0.44342655655997093
0.0,0.5891534323837883
1.0,0.7039283748975719
0.0,0.6323458088364373
1.0,0.8651027494993648
1.0,0.5940133104404555
1.0,0.5422076521702923
1.0,0.6442673003455394
1.0,0.5287997670597758
1.0,0.8615890774533225
1.0,0.6595495239526744
1.0,0.8122883114019683
0.0,0.7225708951984113
1.0,0.843530957391203
0.0,0.5802776316510484
0.0,0.5997154136130769
1.0,0.8817672838531148
1.0,0.7565910629084964
0.0,0.6260326308398956
1.0,0.6777246185450683
0.0,0.3128663299830576
1.0,0.5669512181893179
0.0,0.40776009855196504
1.0,0.8993439197235573
1.0,0.6775142185807275
1.0,0.7550116911512399
0.0,0.4089906395269492
1.0,0.5263380279320428
1.0,0.6087966364829679
1.0,0.466509353465313
1.0,0.8261060508267094
0.0,0.48752893940473285
1.0,0.5131381429468255
1.0,0.61800983466791
0.0,0.5811283470807538
0.0,0.518724274736866
1.0,0.618563389317112
1.0,0.8131688149364098
1.0,0.8073672205783126
0.0,0.5550266765208363
1.0,0.580502049488283
1.0,0.8765857372474826
1.0,0.6414666394777596
0.0,0.5176924597997511
1.0,0.6243837149305825
0.0,0.4204194708692582
1.0,0.6374573473341443
1.0,0.6000795417422289
0.0,0.5452999420221285
0.0,0.5627487389679262
0.0,0.48039315181354353
1.0,0.6861758777555117
0.0,0.4917789561725513
1.0,0.5945872523100375
0.0,0.6622999695458031
1.0,0.6442673003455394
1.0,0.5091477767152642
1.0,0.6938084363429188
1.0,0.8698236594213434
0.0,0.6117844324920199
1.0,0.7128088568069005
1.0,0.6583977234033255
1.0,0.7357037433604228
1.0,0.7512729595333294
1.0,0.8745769631332995
0.0,0.5228206008062741
0.0,0.5905828199892921
0.0,0.41730820601081964
1.0,0.7392683021146599
1.0,0.6632795664577555
1.0,0.7393476686864315
1.0,0.8565019036951346
1.0,0.8005429519476733
0.0,0.5293103697043063
1.0,0.42762703831046056
